id,assignment_id,json,version,date,created_at,updated_at,enddate,startdate,status
2,936,"[{'budget': 2500000, 'source': 'google', 'subsource': 'leadgen_ri'}, {'budget': 3300000, 'source': 'google', 'subsource': 'gdn_ri'}]",,2019-04-08,2019-04-08 11:38:43.579795,2019-04-08 11:38:43.579795,,,
1,936,"[{'budget': 2500000, 'source': 'google', 'subsource': 'leadgen_ri'}, {'budget': 3300000, 'source': 'google', 'subsource': 'gdn_ri'}]",,2019-04-08,2019-04-08 11:35:42.576334,2019-04-08 11:35:42.576334,,,
3,936,"[{'cpb': None, 'cpql': None, 'cpsv': None, 'leads': 1000, 'qrate': 20, 'budget': 2500000, 'source': 'google', 'svrate': 20, 'subsource': 'search_ri'}, {'budget': 3300000, 'source': 'google', 'subsource': 'gdn_ri'}, {'budget': 240000, 'source': 'facebook', 'subsource': 'leadgen_ri'}, {'cpl': None, 'cpql': None, 'qrate': None, 'budget': 220000, 'source': 'facebook', 'subsource': 'ctw_ri'}, {'cpl': None, 'cpql': None, 'cpsv': None, 'qrate': None, 'source': 'portals', 'svrate': None, 'subsource': 'gdn_gcc'}, {'source': 'portals', 'subsource': 'search_gcc'}, {}]",,2019-04-08,2019-04-08 11:42:22.839525,2019-04-08 11:42:22.839525,,,
4,977,"[{'subsource': 'search_ri'}, {'subsource': 'gdn_ri'}, {}]",,2019-04-08,2019-04-08 11:51:18.192635,2019-04-08 11:51:18.192635,,,
5,640,"[{'source': 'google', 'subsource': 'search_ri'}, {'source': 'google', 'subsource': 'search_gcc'}, {'source': 'google', 'subsource': 'gdn_ri'}, {'source': 'google', 'subsource': 'gdn_gcc'}, {}, {}, {}, {}, {}]",,2019-05-21,2019-05-21 06:45:44.605357,2019-05-21 06:45:44.605357,,,
8,1012,"[{'cpl': 3200, 'cpql': 11428.57142857143, 'cpsv': 45714.28571428572, 'leads': 46.875, 'qrate': 28, 'budget': 150000, 'qleads': 13.125, 'source': 'google', 'svdone': 3.28125, 'svrate': 25, 'subsource': 'search_ri'}, {'cpl': 2300, 'cpql': 12777.777777777776, 'cpsv': 159722.2222222222, 'leads': 31.043478260869566, 'qrate': 18, 'budget': 71400, 'qleads': 5.587826086956523, 'source': 'google', 'svdone': 0.4470260869565218, 'svrate': 8, 'subsource': 'gdn_ri'}, {'cpl': 2200, 'cpql': 7857.142857142858, 'cpsv': 52380.952380952396, 'leads': 215.86363636363637, 'qrate': 27.999999999999996, 'budget': 474900, 'qleads': 60.44181818181818, 'source': 'facebook', 'svdone': 9.066272727272725, 'svrate': 15, 'subsource': 'leadgen_ri'}, {'cpl': 2500, 'cpql': 12500, 'cpsv': 62500, 'leads': 120, 'qrate': 20, 'budget': 300000, 'qleads': 24, 'source': 'facebook', 'svdone': 4.8, 'svrate': 20, 'subsource': 'ctw_ri'}, {'cpl': 3500, 'cpql': 3500, 'cpsv': 17500, 'leads': 31.62857142857143, 'qrate': 100, 'budget': 110700, 'qleads': 31.62857142857143, 'source': 'database', 'svdone': 6.325714285714286, 'svrate': 20, 'subsource': '-'}]",,2019-05-30,2019-05-30 11:20:35.675793,2019-05-30 11:20:35.675793,,,
79,1056,"[{'cpl': 1200, 'cpql': 5999.999999999999, 'cpsv': 27272.72727272727, 'leads': 208.33333333333334, 'qrate': 20, 'budget': 250000, 'qleads': 41.66666666666667, 'source': 'Facebook', 'svdone': 9.166666666666668, 'svrate': 22, 'subsource': 'leadgen_ri'}, {'cpl': 1200, 'cpql': 5999.999999999999, 'cpsv': 27272.72727272727, 'leads': 208.33333333333334, 'qrate': 20, 'budget': 250000, 'qleads': 41.66666666666667, 'source': 'Facebook', 'svdone': 9.166666666666668, 'svrate': 22, 'subsource': 'videoleadgen_ri'}, {'cpl': 1600, 'cpql': 6666.666666666667, 'cpsv': 26666.666666666668, 'leads': 218.75, 'qrate': 24, 'budget': 350000, 'qleads': 52.5, 'source': 'Google', 'svdone': 13.125, 'svrate': 25, 'subsource': 'search_ri'}, {'cpl': 1400, 'cpql': 7000, 'cpsv': 31818.18181818182, 'leads': 35.714285714285715, 'qrate': 20, 'budget': 50000, 'qleads': 7.142857142857143, 'source': 'Google', 'svdone': 1.5714285714285714, 'svrate': 22, 'subsource': 'gdn_ri'}, {'cpl': 1400, 'cpql': 7000, 'cpsv': 35000, 'leads': 71.42857142857143, 'qrate': 20, 'budget': 100000, 'qleads': 14.285714285714286, 'source': 'Native', 'svdone': 2.857142857142857, 'svrate': 20, 'subsource': 'ak_taboola'}, {'cpl': 1400, 'cpql': 7000, 'cpsv': 35000, 'leads': 71.42857142857143, 'qrate': 20, 'budget': 100000, 'qleads': 14.285714285714286, 'source': 'Native', 'svdone': 2.857142857142857, 'svrate': 20, 'subsource': 'ak_taboola'}, {'cpl': 1200, 'cpql': 6000, 'cpsv': 30000, 'leads': 50, 'qrate': 20, 'budget': 60000, 'qleads': 10, 'source': 'Portals', 'svdone': 2, 'svrate': 20, 'subsource': 'cf_ri'}, {'cpl': 1200, 'cpql': 5999.999999999999, 'cpsv': 29999.999999999993, 'leads': 91.66666666666667, 'qrate': 20, 'budget': 110000, 'qleads': 18.333333333333336, 'source': 'Portals', 'svdone': 3.6666666666666674, 'svrate': 20, 'subsource': 'mb_ri'}, {'cpl': 1200, 'cpql': 6000, 'cpsv': 30000, 'leads': 50, 'qrate': 20, 'budget': 60000, 'qleads': 10, 'source': 'Portals', 'svdone': 2, 'svrate': 20, 'subsource': '99acres_ri'}, {'cpl': 2500, 'cpql': 2500, 'cpsv': 10000, 'leads': 40, 'qrate': 100, 'budget': 100000, 'qleads': 40, 'source': 'Affiliate', 'svdone': 10, 'svrate': 25, 'subsource': 'Vendor 1'}, {'cpl': 600, 'cpql': 4000, 'cpsv': 20000, 'leads': 116.66666666666667, 'qrate': 15, 'budget': 70000, 'qleads': 17.5, 'source': 'SMS', 'svdone': 3.5, 'svrate': 20, 'subsource': 'Vendors'}]",July,,2019-07-31 08:42:22.281449,2019-07-31 08:44:40.627269,2019-08-31,2019-07-25,active
74,1058,,null,,2019-07-31 07:56:55.033086,2019-07-31 07:56:55.033086,,,inactive
52,1061,"[{'cpl': 1000, 'cpql': 5000, 'cpsv': 12500, 'leads': 400, 'qrate': 20, 'budget': 400000, 'qleads': 80, 'source': 'Facebook', 'svdone': 32, 'svrate': 40, 'subsource': 'Lead-gen ads'}, {'cpl': 1000, 'cpql': 5000, 'cpsv': 12500, 'leads': 200, 'qrate': 20, 'budget': 200000, 'qleads': 40, 'source': 'Facebook', 'svdone': 16, 'svrate': 40, 'subsource': 'Video ads'}, {'cpl': 1500, 'cpql': 6000, 'cpsv': 17142.85714285714, 'leads': 133.33333333333334, 'qrate': 25, 'budget': 200000, 'qleads': 33.333333333333336, 'source': 'Google', 'svdone': 11.666666666666668, 'svrate': 35, 'subsource': 'Search Ads'}, {'cpl': 1200, 'cpql': 12000.000000000002, 'cpsv': 34285.7142857143, 'leads': 70.83333333333333, 'qrate': 10, 'budget': 85000, 'qleads': 7.083333333333332, 'source': 'Google', 'svdone': 2.479166666666666, 'svrate': 35, 'subsource': 'Remarketing'}, {'cpl': 1200, 'cpql': 12000.000000000002, 'cpsv': 34285.7142857143, 'leads': 70.83333333333333, 'qrate': 10, 'budget': 85000, 'qleads': 7.083333333333332, 'source': 'Google', 'svdone': 2.479166666666666, 'svrate': 35, 'subsource': 'GSP'}, {'cpl': 1200, 'cpql': 12000.000000000002, 'cpsv': 34285.71428571429, 'leads': 166.66666666666666, 'qrate': 10, 'budget': 200000, 'qleads': 16.666666666666664, 'source': 'Google', 'svdone': 5.833333333333332, 'svrate': 35, 'subsource': 'Audience TG'}, {'cpl': 1500, 'cpql': 7499.999999999999, 'cpsv': 24999.999999999996, 'leads': 53.333333333333336, 'qrate': 20, 'budget': 80000, 'qleads': 10.666666666666668, 'source': 'Native', 'svdone': 3.2000000000000006, 'svrate': 30, 'subsource': 'Taboola'}, {'cpl': 1500, 'cpql': 7499.999999999999, 'cpsv': 24999.999999999993, 'leads': 66.66666666666667, 'qrate': 20, 'budget': 100000, 'qleads': 13.333333333333336, 'source': 'Portals', 'svdone': 4.000000000000001, 'svrate': 30, 'subsource': 'Commonfloor'}, {'cpl': 1500, 'cpql': 7499.999999999999, 'cpsv': 24999.999999999993, 'leads': 66.66666666666667, 'qrate': 20, 'budget': 100000, 'qleads': 13.333333333333336, 'source': 'Portals', 'svdone': 4.000000000000001, 'svrate': 30, 'subsource': '99acres'}, {'cpl': 900, 'cpql': 9000, 'cpsv': 30000.000000000004, 'leads': 111.11111111111111, 'qrate': 10, 'budget': 100000, 'qleads': 11.11111111111111, 'source': 'SMS', 'svdone': 3.333333333333333, 'svrate': 30, 'subsource': 'DND Vendors'}, {'cpl': 700, 'cpql': 7000.000000000001, 'cpsv': 23333.333333333336, 'leads': 214.28571428571428, 'qrate': 10, 'budget': 150000, 'qleads': 21.428571428571427, 'source': 'SMS', 'svdone': 6.428571428571428, 'svrate': 30, 'subsource': 'Non DND Vendors'}, {'cpl': 649, 'cpql': 3245, 'cpsv': 10816.666666666666, 'leads': 154.08320493066256, 'qrate': 20, 'budget': 100000, 'qleads': 30.816640986132512, 'source': 'Propstory', 'svdone': 9.244992295839754, 'svrate': 30, 'subsource': 'Content + Promotion'}, {'budget': 30000, 'source': 'Facebook', 'subsource': 'Boost Post'}, {'budget': 30000, 'source': 'Facebook', 'subsource': 'Event Post'}, {'budget': 30000, 'source': 'Instagram', 'subsource': 'Boost Post'}, {'budget': 110000, 'source': 'Youtube', 'subsource': 'Trueview Ads'}, {}]",BrigadeExpo_AD,,2019-07-18 14:43:17.214068,2019-07-18 15:00:20.610888,2019-06-30,2019-06-18,active
108,1083,"[{'cpl': 1122, 'cpql': 8630.76923076923, 'cpsv': 28769.230769230773, 'leads': 2077.5401069518716, 'qrate': 13, 'budget': 2331000, 'qleads': 270.0802139037433, 'source': 'facebook', 'svdone': 81.02406417112299, 'svrate': 30, 'subsource': 'leadgen_ri'}, {'cpl': 3318, 'cpql': 18433.333333333336, 'cpsv': 61444.44444444445, 'leads': 412.5979505726341, 'qrate': 18, 'budget': 1369000, 'qleads': 74.26763110307414, 'source': 'google', 'svdone': 22.28028933092224, 'svrate': 30, 'subsource': 'search_ri'}]",Sept - Dec 2019,,2019-09-19 06:36:51.421364,2019-09-19 06:43:39.244483,,,active
