campaign,date,device,network,cost,impressions,clicks,conversions,created_at,account_id
Runwal Sanctuary Search Brand 2401 #5fc|5pw-search_ri_brand_alt,2022-01-31,Mobile devices with full browsers,Search Network,1631730000,64,5,1,2022-02-10 18:36:42.309489,488-987-9233
Runwal Sanctuary Search Brand 2401 #5fc|5pw-search_ri_brand_alt,2022-01-31,Mobile devices with full browsers,Search Network,1631730000,64,5,,2022-02-08 10:05:52.622021,488-987-9233
Runwal Sanctuary Search Brand 2401 #5fc|5pw-search_ri_brand_alt,2022-02-08,Computers,Search Network,291680000,15,1,,2022-02-08 10:05:52.622021,488-987-9233
Runwal Sanctuary Search Brand 2401 #5fc|5pw-search_ri_brand_alt,2022-02-08,Computers,Search Network,408500000,36,3,,2022-02-18 18:35:24.303589,488-987-9233
Runwal Sanctuary Search Brand 2401 #5fc|5pw-search_ri_brand_alt,2022-02-08,Mobile devices with full browsers,Search Network,1482640000,16,5,,2022-02-08 10:05:52.622021,488-987-9233
Runwal Sanctuary Search Brand 2401 #5fc|5pw-search_ri_brand_alt,2022-02-08,Mobile devices with full browsers,Search Network,2773120000,35,9,,2022-02-18 18:35:24.303589,488-987-9233
Durga Petals #3a3|3gg-search_ri,2021-10-04,Mobile devices with full browsers,Search Network,4188810000,120,17,5,2022-04-14 11:19:23.153652,569-073-8209
Durga Petals #3a3|3gg-search_ri,2021-10-04,Mobile devices with full browsers,Search Network,4188810000,120,17,4,2021-10-14 18:34:08.528662,569-073-8209
Sobha HRC Pristine #5o1|5yu-search_ri,2022-03-05,Mobile devices with full browsers,Display Network,552673528,4560,27,,2022-04-14 11:19:23.153652,569-073-8209
Sobha HRC Pristine #5o1|5yu-search_ri,2022-03-05,Mobile devices with full browsers,Display Network,552673528,4570,27,,2022-03-15 18:34:08.459692,569-073-8209
Ṧőbha Lake Garden #16j|18q-search_ri_sobha_lakegardens,2022-03-06,Mobile devices with full browsers,Display Network,351274859,4678,19,1,2022-04-14 11:19:23.153652,569-073-8209
Ṧőbha Lake Garden #16j|18q-search_ri_sobha_lakegardens,2022-03-06,Mobile devices with full browsers,Display Network,356724973,4678,20,1,2022-03-16 18:34:07.453146,569-073-8209
PK_Balewadi - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,283920000,22,1,,2019-07-20 23:35:05.149775,580-510-0831
PK_Balewadi - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,,7,,,2019-07-10 07:35:22.931589,580-510-0831
PK_Balewadi - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Search Network,383050000,26,1,,2019-07-20 23:35:05.149775,580-510-0831
PK_Balewadi - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Search Network,,1,,,2019-07-10 07:35:22.931589,580-510-0831
PK_Brand - BMM - #search_ri_melange,2019-07-07,Mobile devices with full browsers,Search Network,1927450000,79,16,2,2019-07-17 23:34:58.100410,580-510-0831
PK_Brand - BMM - #search_ri_melange,2019-07-07,Mobile devices with full browsers,Search Network,1927450000,79,16,1,2019-07-10 07:35:22.931589,580-510-0831
PK_Brand - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,795590000,24,5,,2019-07-20 23:35:05.149775,580-510-0831
PK_Brand - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,417380000,7,2,,2019-07-10 07:35:22.931589,580-510-0831
PK_Brand - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Search Network,434910000,19,6,,2019-07-10 07:35:22.931589,580-510-0831
PK_Brand - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Search Network,573200000,49,7,,2019-07-20 23:35:05.149775,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-09,Computers,Display Network,,971,,,2019-07-19 23:35:17.687403,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-09,Computers,Display Network,,973,,,2019-07-10 07:35:22.931589,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Computers,Display Network,,386,,,2019-07-10 07:35:22.931589,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Computers,Display Network,16498064,791,1,,2019-07-20 23:35:05.149775,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,1901290000,85,5,,2019-07-20 23:35:05.149775,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,843370000,42,2,,2019-07-10 07:35:22.931589,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Display Network,54780813,534,3,,2019-07-10 07:35:22.931589,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Display Network,97343933,1751,5,,2019-07-20 23:35:05.149775,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Search Network,3210120000,151,12,,2019-07-20 23:35:05.149775,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Search Network,1411500000,42,5,,2019-07-10 07:35:22.931589,580-510-0831
