account_id,campaign_name,adset_name,ad_name,ad_id,date,spends,impressions,video_view,post,comment,post_reaction,landing_page_view,link_click,page_engagement,post_engagement,offsite_conversion.fb_pixel_lead,leadgen.other,created_at,updated_at
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative,23853130501120673,2023-05-28,57,736,,,,,,10,10,10,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative,23853259521580673,2023-05-28,21,241,,,,,,2,2,2,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 2,23853261098160673,2023-05-28,5,87,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 1,23853261100350673,2023-05-28,4,63,,,,,,1,1,1,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 1,23853261118630673,2023-05-28,4,29,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 2,23853261118640673,2023-05-28,19,301,,,,,,2,2,2,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 3,23853261529010673,2023-05-28,102,967,,,,1,,8,9,9,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 4,23853261540410673,2023-05-28,3,20,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 5,23853261543330673,2023-05-28,4,21,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 3 - Copy,23853261546360673,2023-05-28,82,790,,,,,,12,12,12,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 5 - Copy,23853261546370673,2023-05-28,2,26,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 4 - Copy,23853261546380673,2023-05-28,1,7,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 6,23853309997840673,2023-05-28,157,2852,,,,1,,27,28,28,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 6 - Copy,23853310004750673,2023-05-28,155,3051,,,,,,18,18,18,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative,23853130501120673,2023-05-29,51,733,,,,,,8,8,8,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative,23853259521580673,2023-05-29,28,269,,,,,,5,5,5,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 2,23853261098160673,2023-05-29,6,55,,,,,,1,1,1,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 1,23853261100350673,2023-05-29,7,69,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 1,23853261118630673,2023-05-29,2,41,,,,,,2,2,2,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 2,23853261118640673,2023-05-29,12,231,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 3,23853261529010673,2023-05-29,105,1037,,,,1,,22,23,23,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 4,23853261540410673,2023-05-29,1,9,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 5,23853261543330673,2023-05-29,3,23,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 3 - Copy,23853261546360673,2023-05-29,70,829,,,,,,10,10,10,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 5 - Copy,23853261546370673,2023-05-29,5,39,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 4 - Copy,23853261546380673,2023-05-29,3,13,,,,,,1,1,1,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 6,23853309997840673,2023-05-29,165,2769,,,,,,22,22,22,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 6 - Copy,23853310004750673,2023-05-29,151,2701,,,,,,24,24,24,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative,23853130501120673,2023-05-30,78,912,,,,1,,11,12,12,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative,23853259521580673,2023-05-30,32,351,,,,,,6,6,6,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 2,23853261098160673,2023-05-30,5,63,,,,,,1,1,1,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 1,23853261100350673,2023-05-30,,5,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 1,23853261118630673,2023-05-30,3,17,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 2,23853261118640673,2023-05-30,16,334,,,,,,4,4,4,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 3,23853261529010673,2023-05-30,51,544,,,,,,8,8,8,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 4,23853261540410673,2023-05-30,,6,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 5,23853261543330673,2023-05-30,1,12,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 3 - Copy,23853261546360673,2023-05-30,26,320,,,,,,5,5,5,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 5 - Copy,23853261546370673,2023-05-30,1,14,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 4 - Copy,23853261546380673,2023-05-30,1,15,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 6,23853309997840673,2023-05-30,186,2376,,,,,,22,22,22,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 6 - Copy,23853310004750673,2023-05-30,201,2475,,,,,,28,28,28,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative,23853130501120673,2023-05-31,50,641,,,,,,12,12,12,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative,23853259521580673,2023-05-31,38,273,,,,,,1,1,1,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 2,23853261098160673,2023-05-31,57,312,,,,,,6,6,6,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Interest - Real Estate Generic,Master Creative 1,23853261100350673,2023-05-31,,5,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 1,23853261118630673,2023-05-31,1,6,,,,,,,,,,,,
528034467942989,Ansal Highland Park #8rs|99s-leadgen_ri,Custom Data Lookalike,Master Creative 2,23853261118640673,2023-05-31,9,52,,,,,,,,,,,,
